"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"257564","0","THE SUSSEX POLICE CHARITABLE TRUST","Sussex Police, Malling House, Church Lane, LEWES","BN7 2DZ","Lewes","01273 470101","spct@sussex.pnn.police.uk","www.sussex.police.uk/SPCT","31/12/2024","206735","237888","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes","Other Defined Groups","The charity provides assistance and support to members and retired members, including their partners and dependent family, who are in need and/or hardship and/or distress. Membership is open to Sussex police officers, staff, special constables and volunteers.","THE OBJECTS OF THE TRUST ARE TO PROVIDE ASSISTANCE AND SUPPORT TO MEMBERS OR THEIR WIDOWED SPOUSES OR DEPENDANT FAMILY MEMBERS WHO ARE IN NEED, HARDSHIP OR DISTRESS."
"257642","0","ST PAULS CLERGY HOUSE AND SCHOOLS TRUST","38 STANFORD AVENUE, BRIGHTON","BN1 6EA","Brighton Pavilion","01273501588","thepotters38@outlook.com","","31/12/2024","28795","18011","Registered","Other","Makes Grants To Organisations, Provides Buildings/facilities/open Space","Education/training, Religious Activities","Other Charities Or Voluntary Bodies, Other Defined Groups","The charity is a hall in the parish of Saint Paul, Brighton, which is available for lettings for community purposes, from the income arising from lettings, the charity is able to make grants, chiefly to Saint Paul's Church.","(I) FOR DIVINE SERVICE OF CHURCH OF ENGLAND. (II) FOR A SCHOOL FOR EDUCATION OF CHILDREN AND ADULTS OF POORER CLASS ACCORDING TO THE PRINCIPLES OF THE CHURCH OF ENGLAND. (III) FOR A RESIDENCE OF THE VICAR, CLERGY OR TEACHER. (IV) FOR A CLASS ROOM FOR LECTURES OF RELIGIOUS OR SECULAR INSTRUCTIONS."
"257885","0","WILLIAM GODLEY'S CHARITY","99 SURRENDEN ROAD, BRIGHTON","BN1 6PQ","Brighton Pavilion","01273557986","","","31/12/2024","243","0","Registered","Other","Makes Grants To Individuals","The Prevention Or Relief Of Poverty","The General Public/mankind","Alleviation of poverty","FOR THE BENEFIT OF SUCH POOR PERSONS OF THE ECCLESIASTICAL PARISH OF ST. LUKE, BRIGHTON, AS THE TRUSTEES THINK FIT EITHER IN THE SUPPLY OF ARTICLES IN KIND OR IN GRANTS OF MONEY."
"258346","0","CATHERINE MARTIN TRUST","HOVE VICARAGE, WILBURY ROAD, HOVE","BN3 3PB","Hove and Portslade","01273 562331","victoria-lewis@hotmail.com","","31/03/2025","15478","15450","Registered","Other","Makes Grants To Individuals","Education/training, The Prevention Or Relief Of Poverty, Amateur Sport","Children/young People","The Trust continues to provide financial asistance to children and young adults (who are continuing in full-time education) and meet the conditions of the Trust,","PROVIDE GRANTS TO BE APPLIED FOR THE MAINTENANCE, EDUCATION AND UPBRINGING OF CHILDREN & YOUNG PEOPLE UP TO 21 YEARS OLD, SUBJECT TO THESE CONDITIONS: 1)EVERY CHILD WHETHER MALE OF FEMALE SO APPOINTED MUST; A) BE BRITISH BORN B) HAVE RESIDED IN THE OLD BOROUGH OF HOVE AND PORTSLADE FOR AT LEAST ONE YEAR PRIOR TO APPOINTMENT C) NOT BE OVER 18 YEARS AT THE TIME OF APPOINTMENT D) BE LIVING WITH THEIR NEXT OF KIN OR ANOTHER PERSON OR PERSONS ACTING 'IN LOCO PARENTIS' WHO IS OR ARE WITHOUT SUFFICIENT MEANS TO SUPPORT THE CHILD'S REASONABLE AND PROPER UPBRINGING."
"258846","0","BRIGHTON THEATRE GROUP","1 Tanners Field, Green Road, Wivelsfield Green, HAYWARDS HEATH, West Sussex","RH17 7QE","East Grinstead and Uckfield","07980266660","keith.s.shepherd@btinternet.com","www.brightontheatregroup.com","30/06/2024","177386","156041","Registered","Other","Provides Advocacy/advice/information","Education/training, Arts/culture/heritage/science, Amateur Sport, Recreation","Children/young People, The General Public/mankind","Provision of Musical theatre training and performnce to the company membership. All aspects of theatrical eductaion are address. Clear Youth objectives in educating those from 7-16 years","TO PROMOTE THE ADVANCEMENT OF GENERAL EDUCATION IN RELATION TO ALL ASPECTS OF THE ARTS OF MUSIC, DANCING, DRAMA, AND THE DEVELOPMENT OF PUBLIC APPRECIATION OF SUCH ARTS."
"260887","0","BRIGHTON ORPHEUS CHOIR","91 Woodland Avenue, HOVE, East Sussex","BN3 6BJ","Hove and Portslade","07975571357","info@brightonorpheus.org","www.brightonorpheus.org","31/08/2024","36271","24842","Registered","Other","Provides Services, Other Charitable Activities","Education/training, Other Charitable Purposes","The General Public/mankind","Rehearsal and performance of sacred and secular musicSupport of other charities","A) TO ADVANCE, IMPROVE, DEVELOP AND MAINTAIN PUBLIC EDUCATION IN, AND APPRECIATION OF, THE ART AND SCIENCE OF MUSIC IN ALL ITS ASPECTS BY THE PERFORMANCE OF SACRED AND SECULAR MUSIC AND BY ANY OTHER MEANS THE TRUSTEES SEE FIT, AND
B) TO ASSIST CHARITABLE INSTITUTIONS."
"261351","0","HASTINGS MUSICAL FESTIVAL LIMITED","White Rock Theatre, White Rock, Hastings","TN34 1JX","Hastings and Rye","07774639505","Info@hastingsmf.org.uk","www.hastingsmusicalfestival.co.uk","30/06/2024","69095","71383","Registered","Charitable company","Makes Grants To Individuals, Makes Grants To Organisations, Provides Services","Education/training, Arts/culture/heritage/science","The General Public/mankind","Musical Festival involving Dance, Instrumental, Speech&Drama and Singing.","(I) THE ADVANCEMENT IN HASTINGS AND ELSEWHERE OF PUBLIC EDUCATION AND (II)THE IMPROVEMENT OF THE PUBLIC TASTE AND APPRECIATION OF THE ARTS, INCLUDING PARTICULARLY THE ARTS F DRAMA, MIME, SINGING, MUSIC, ELOCUTION, DANCING, FOLK DANCING AND BALLET."
"262836","0","THE MARINA RANGE ASSOCIATION","100 DENTON DRIVE, BRIGHTON","BN1 8DL","Brighton Pavilion","01273550868","marinaarms@btinternet.com","","31/03/2024","8926","5996","Registered","Other","Provides Buildings/facilities/open Space","Education/training, Disability, Amateur Sport","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, Other Defined Groups","Provides buildings/facilities/open space for Sport/recreation","ENCOURAGING SKILL IN RIFLE AND PISTOL SHOOTING AND TO PROVIDE INSTRUCTION AND PRACTICE TO ANY OF HER MAJESTY'S SUBJECTS SO THAT THEY WILL BE BETTER FITTED TO SERVE THEIR COUNTRY IN THE ARMED FORCES, TERRITORIAL ARMY OR ANY OTHER ORGANISATION IN WHICH THEIR SERVICES MAY BE REQUIRED IN THE DEFENCE OF THE REALM IN TIMES OF PERIL."
"264056","0","The Rottingdean Preservation Society","The Grange, The Green, Rottingdean","BN2 7HA","Brighton Kemptown and Peacehaven","01273 301004","rhmemsec@gmail.com","https://www.rottingdeanheritage.org.uk/","30/04/2024","80638","98938","Registered","Other","Provides Buildings/facilities/open Space, Other Charitable Activities","Arts/culture/heritage/science, Environment/conservation/heritage","The General Public/mankind","The objects of Rottingdean Preservation Society are to preserve the village & the amenities & rural surroundings of Rottingdean & improve the same & preserve & maintain Rottingdean Windmill. The society also has a lease over part of The Grange, Rottingdean where it operates and manages an art gallery, museum & exhibition rooms for the benefit of the residents of and visitors to the village.","(A) TO PRESERVE THE VILLAGE AND THE AMENITIES AND RURAL SURROUNDINGS OF ROTTINGDEAN AND IMPROVE THE SAME. (B) TO PRESERVE AND MAINTAIN THE ROTTINGDEAN WINDMILL. (C) TO PRESERVE AND MAINTAIN THE GRANGE."
"264357","0","BRIGHTON AND SUSSEX MEDICO-CHIRURGICAL SOCIETY","Royal Sussex County Hospital, Audrey Emerton Building, Eastern Road, Brighton","BN2 5BE","Brighton Kemptown and Peacehaven","01273696955","carlene.desouza@bsuh.nhs.uk","www.brightonmedchi.org.uk","31/03/2025","6676","6452","Registered","Other","Provides Advocacy/advice/information","Education/training, The Advancement Of Health Or Saving Of Lives","Other Defined Groups","The advancement and diffusion of Medical and Surgical knowledge","THE ADVANCEMENT AND DIFFUSION OF MEDICAL AND SURGICAL KNOWLEDGE, IN PARTICULAR, BUT NOT EXCLUSIVELY, BY ARRANGING MEETINGS FOR MEDICAL CONVERSATION AND THE MUTUAL COMMUNICATION OF RELEVANT FACTS AND INFORMATION."
"264853","0","ROTTINGDEAN WHITEWAY CENTRE","Rottingdean Whiteway Centre, Whiteway Lane, Rottingdean, BRIGHTON","BN2 7HB","Brighton Kemptown and Peacehaven","07845945745","lynn@rwc.org.uk","www.rwc.org.uk","31/12/2024","118885","123364","Registered","Other","Provides Buildings/facilities/open Space, Provides Services","Education/training, Arts/culture/heritage/science","Children/young People, Elderly/old People, The General Public/mankind","The RWC is a community Centre for local Clubs & Societies to hold meetings and activities. It also  offers a wide range of adult education and leisure classes in addition to providing pre-school classes. The centre is available to hire for events and parties etc.
It is entirely self financing and does not receive support from local or national Government.","A VILLAGE CENTRE TO BE USED BY THE INHABITANTS OF THE AREA OF BENEFIT WITHOUT DISTINCTION OF POLITICAL RELIGIOUS OR HER OPINIONS FOR MEETINGS LECTURES AND CLASSES AND FOR OTHER FORMS OF RECREATION AND LEISURE-TIME OCCUPATION WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE FOR THE SAID INHABITANTS.."
"264968","0","STANMER PRESERVATION SOCIETY","Timber Garage, Stanmer Village, BRIGHTON","BN1 9PZ","Brighton Pavilion","07899665112","Sps.Sussex@gmail.com","www.stanmer.org.uk","31/08/2024","2057","2221","Registered","Other","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","General Charitable Purposes, Education/training, Arts/culture/heritage/science, Environment/conservation/heritage","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","To improve, protect and preserve Stanmer village, Brighton, and its environs for the benefit of the public,  including Stanmer church and the local rural history museum;To campaign; to educate public opinion; to make representations at public enquiries in support of the above objectives;","TO IMPROVE, PROTECT AND PRESERVE FOR THE BENEFIT OF THE PUBLIC THE VILLAGE OF STANMER AND ITS ENVIRONS"
"266954","0","BOOTH MUSEUM","Brighton & Hove City Council, Financial Accounting, 3rd Floor, Bartholomew House, Bartholomew Square, Brighton, East Sussex","BN1 1JE","Brighton Pavilion","01273291259","accountancy@brighton-hove.gov.uk","","31/03/2024","0","0","Registered","Other","Provides Human Resources, Provides Buildings/facilities/open Space","Education/training, Arts/culture/heritage/science, Amateur Sport, Animals, Environment/conservation/heritage","The General Public/mankind","FOR THE PURPOSES OF THE MUSEUM","FOR THE PURPOSES OF MUSEUM"
"266956","0","STANFORD MUSEUM AND PUBLIC PARK (PRESTON MANOR)","Brighton & Hove City Council, Financial Accounting, 3rd Floor, Bartholomew House, Bartholomew Square, Brighton, East Sussex","BN1 1JE","Brighton Pavilion","01273291259","accountancy@brighton-hove.gov.uk","","31/03/2024","0","0","Registered","Other","Provides Human Resources, Provides Buildings/facilities/open Space","Education/training, Arts/culture/heritage/science","The General Public/mankind","FOR THE PURPOSES OF THE MUSEUM","A PUBLIC MUSEUM AND A PUBLIC PARK"
"267138","0","THE ARTHUR JOLLY LODGE BENEVOLENT FUND","LITTLE SQUERRYES, SOUTH STREET, PARTRIDGE GREEN, WEST SUSSEX","RH13 8EL","Horsham","01403710884","normanbayne@btinternet.com","","29/02/2024","350","350","Registered","Other","Makes Grants To Organisations","General Charitable Purposes, The Prevention Or Relief Of Poverty","Elderly/old People, The General Public/mankind","Donations to non Masonic & Masonic charities.","TO OR FOR THE RELIEF OF SUCH POOR AND DISTRESSED BROTHER MASONS OR THEIR POOR AND DISTRESSED WIDOWS AND CHILDREN OR TO OR FOR THE BENEFIT OF SUCH MASONIC CHARITIES OR OTHER CHARITABLE INSTITUTIONS SOCIETIES AND OBJECTS AS THE LODGE SHALL IN DULY CONSTITUTED MEETING FROM TIME TO TIME DIRECT."
"267889","0","THE MONTPELIER AND CLIFTON HILL ASSOCIATION","6 COMPTON AVENUE, BRIGHTON","BN1 3PN","Brighton Pavilion","01273325185","info@montpelierandcliftonhill.org","www.montpelierandcliftonhill.org","31/03/2024","2185","972","Registered","Other","Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, Arts/culture/heritage/science, Environment/conservation/heritage","Other Charities Or Voluntary Bodies, The General Public/mankind","The Association is established for the public benefit
for the following purposes in and affecting the area of benefit:-
To stimulate public interest especially in the physical environment.
To promote high standards of planning and
architecture.
To secure the preservation, protection,
development and improvement of features of
historic or public interest.","(A) TO STIMULATE PUBLIC INTEREST IN THE AREA BOUNDED BY THE HOVE BOUNDARY, WESTERN ROAD AND DYKE ROAD TO THE SEVEN DIALS. (B) TO PROMOTE HIGH STANDARDS OF PLANNING AND ARCHITECTURE IN THE AREA OF BENEFIT. (C) TO SECURE THE PRESERVATION, PROTECTION, DEVELOPMENT AND IMPROVEMENT OF FEATURES OF HISTORIC OR PUBLIC INTEREST IN THE AREA OF BENEFIT."
"268268","0","BRIGHTON AND HOVE CHARITABLE YOUTH TRUST","47 Broad Rig Avenue, HOVE, East Sussex","BN3 8EW","Hove and Portslade","07917211398","bandhcyt@gmail.com","","31/07/2024","4240","560","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations","Education/training, Disability, Arts/culture/heritage/science, Amateur Sport","Children/young People, People With Disabilities","The Charity gives grants to help young people, disabled & able bodied.","1) THE PROVISION OF FACILITIES FOR RECREATION OR LEISURE TIME OCCUPATION IN THE INTERESTS OF SOCIAL WELFARE WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE FOR PERSONS HAVING NEED OF SUCH FACILITIES BY REASON OF THEIR YOUTH. 2) SUCH OTHER CHARITABLE PURPOSES AS THE GOVERNORS MAY FROM TIME TO TIME DETERMINE."
"268588","0","SUSSEX COUNTY ASSOCIATION OF CHANGE RINGERS","1 Southdown Terrace, Steyning","BN44 3YJ","Arundel and South Downs","07876 237007","treasurer@scacr.org","www.scacr.org","31/12/2023","31716","20466","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations, Provides Services, Provides Advocacy/advice/information","Education/training, Religious Activities, Arts/culture/heritage/science, Environment/conservation/heritage, Recreation","Children/young People, Other Charities Or Voluntary Bodies, The General Public/mankind","Promoting the ringing of church bells to call people to worship. Providing grants for restoring, maintaining, improving or preserving church bells in Sussex for ringing in churches. Providing training and skill development grants to young people learning change ringing on tower or hand bells. Encouraging the recruitment and training of all ringers and advancing the art of change ringing.","THE OBJECT OF THE ASSOCIATION SHALL BE TO BE OF SERVICE TO THE CHURCH IN THE COUNTY OF SUSSEX WITHIN THE DIOCESE OF CHICHESTER, AND IN FURTHERANCE OF THIS SHALL: (A) FOSTER RINGING FOR DIVINE SERVICE (B) ENCOURAGE THE RECRUITMENT AND TRAINING OF LEARNERS AND ADVANCE THE ART OF CHANGERINGING (C) PRESERVE BELLS FROM REDUNDANT CHURCHES AND RESTORE, MAINTAIN OR IMPROVE EXISTING PEALS OF BELLS AND TOWERS AND BELFRIES HOUSING THEM (E) LOYALLY ABIDE BY THE RULES AND DECISIONS OF THE CENTRAL COUNCIL OF CHURCH BELL RINGERS."
"268607","0","NEW VENTURE PRODUCTIONS","NEW VENTURE THEATRE, BEDFORD PLACE, BRIGHTON","BN1 2PT","Brighton Pavilion","01273808353","info@newventure.org.uk","www.newventure.org.uk","31/08/2024","109425","89328","Registered","Other","Provides Human Resources, Provides Buildings/facilities/open Space","General Charitable Purposes, Education/training, Arts/culture/heritage/science","Children/young People, Other Charities Or Voluntary Bodies, The General Public/mankind","A Community Theatre, committed not only to achieving the highest standards on stage, but also to cultivating original work.","THE OBJECT OF THE CHARITY IS TO EDUCATE THE PUBLIC IN ALL ASPECTS OF THE DRAMATIC AND OPERATIC ARTS AND TO FURTHER THE DEVELOPMENT OF PUBLIC APPRECIATION AND TASTE IN SAID ARTS."
"269264","0","WINDLESHAM SCHOOL TRUST LIMITED","WINDLESHAM SCHOOL, 190 DYKE ROAD, BRIGHTON","BN1 5AA","Brighton Pavilion","01273553645","info@windleshamschool.co.uk","www.windleshamschool.co.uk","31/08/2024","1913044","2053864","Registered","Charitable company","Provides Buildings/facilities/open Space, Provides Services","Education/training","Children/young People","To promote and provide for the advancement of education for boys and girls at Windlesham School.","TO PROMOTE AND PROVIDE FOR THE ADVANCEMENT OF EDUCATION AND IN CONNECTION THEREWITH TO CONDUCT, CARRY ON, ACQUIRE AND DEVELOP IN THE UNITED KINGDOM ANY BOARDING OR DAY SCHOOL OR SCHOOLS FOR THE EDUCATION OF CHILDREN OF EITHER SEX OR BOTH SEXES UP TO THE AGE OF THIRTEEN YEARS OR SUCH OTHER AGE AS THE COUNCIL OF MANAGEMENT SHALL DECIDE."
"269358","0","THE SNELL CHARITABLE EDUCATIONAL FUND","6 MARLBOROUGH PLACE, BRIGHTON","BN1 1UB","Brighton Pavilion","01273608003","","","31/03/2024","8199","8000","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations","Education/training","Children/young People","The charity gives bursaries to children and young adults in full time education and occasional grants to schools to assist their pupils who would not otherwise be able to attend.","FOR THE PUBLIC BENEFIT TO PROMOTE THE EDUCATION (INCLUDING SOCIAL AND PHYSICAL TRAINING) OF CHILDREN AND YOUNG PEOPLE UNDER THE AGE OF 25 YEARS WHO LIVE IN BRIGHTON AND HOVE EAST SUSSEX OR WEST SUSSEX IN SUCH CHARITABLE WAYS AS THE TRUSTEES THING FIT INCLUDING BY AWARDING SUCH PERSONS BURSARIES SCHOLARSHIPS MAINTENANCE ALLOWANCE OR GRANTS TENABLE AT ANY UNIVERSITY COLLEGE OR INSTITUTION OF HIGHER OR FURTHER EDUCATION AND PROVIDING FOR THEIR EDUCATION ( INCLUDING THE STUDY OF MUSIC OR OTHER ARTS) ENABLING THEM TO UNDERTAKE TRAVEL IN FURTHERANCE OF THAT EDUCATION OR TO PREPARE FOR ENTRY TO ANY OCCUPATION TRADE OR PROFESSION ON LEAVING ANY EDUCATIONAL ESTABLISHMENT."
